what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533863234
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533866510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533868931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533868952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533880736
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441533889064
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533892221
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533892222
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441533893041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533894800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441533894828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533900502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533905796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533906921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533908918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533922418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533923855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533929753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533931414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533940858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533943438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533948713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533950167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533958298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533959754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441533968930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533970402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533982457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533983658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533995140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441533996019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441534974361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441534975211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441534977109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535009123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441535009139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535022385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535024618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535036316
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1441535038864
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441535041611
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1441535041631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535046059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535108404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535120192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535135619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535139401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535140042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535141772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535146497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535146517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535146885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535148020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535149159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1441535157190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1441535158328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441535169002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535187771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535282731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535301414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441535301434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535423303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535441516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535497047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535500196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441535500215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535506056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535511267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535512801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535518475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535520712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1441535539204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535540251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535542496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535547203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535548856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535555906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535557817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535565491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535571135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535587253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535627200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1441535630433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535666779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1441535666815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535671488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535676812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535698961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535700883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1441535721978
